xsurvey1775	y0survey1775
1.019996400000e+04	3.641521383330e-01
1.019996200000e+04	7.789766742992e-01
1.019996000000e+04	3.346850561604e-01
1.019995800000e+04	4.568532557195e-01
1.019995600000e+04	4.933303325980e-01
1.019995400000e+04	5.062607254270e-01
1.019995200000e+04	5.010975999362e-01
1.019995000000e+04	7.369243548704e-01
1.019994800000e+04	4.111853194604e-01
1.019994600000e+04	6.465779533442e-01
1.019994400000e+04	5.626025706335e-01
1.019994200000e+04	6.897052751679e-01
1.019994000000e+04	4.777751812025e-01
1.019993800000e+04	7.661680859148e-01
1.019993600000e+04	3.054190542678e-01
1.019993400000e+04	3.927289651756e-01
1.019993200000e+04	1.362869919983e-01
1.019993000000e+04	4.718761918802e-01
1.019992800000e+04	2.709784264369e-01
1.019992600000e+04	2.829248206963e-01
1.019992400000e+04	8.053894773450e-01
1.019992200000e+04	3.716281397234e-01
1.019992000000e+04	3.363053282420e-01
1.019991800000e+04	1.957333089728e-01
1.019991600000e+04	7.282154369054e-01
1.019991400000e+04	3.539871425298e-01
1.019991200000e+04	5.218160874012e-01
1.019991000000e+04	9.132174400752e-01
1.019990800000e+04	3.459407289212e-02
1.019990600000e+04	5.002220745393e-01
1.019990400000e+04	5.033014436767e-01
1.019990200000e+04	8.055212159313e-01
1.019990000000e+04	3.961761954922e-01
1.019989800000e+04	7.689083961202e-02
1.019989600000e+04	1.052402432640e-01
1.019989400000e+04	2.820345127155e-01
1.019989200000e+04	1.183634735626e-01
1.019989000000e+04	1.886046380715e-01
1.019988800000e+04	2.644862211711e-01
1.019988600000e+04	8.924946959326e-02
1.019988400000e+04	1.748118877694e-01
1.019988200000e+04	1.864886351984e-01
1.019988000000e+04	2.049716545087e-01
1.019987800000e+04	2.541757987897e-01
1.019987600000e+04	3.373244007009e-01
1.019987400000e+04	2.466900038119e-01
1.019987200000e+04	3.952046484648e-01
1.019987000000e+04	2.359854835470e-01
1.019986800000e+04	5.217380975651e-01
1.019986600000e+04	2.939231652222e-01
1.019986400000e+04	5.160843983226e-01
1.019986200000e+04	1.168876573895e-01
1.019986000000e+04	4.291761510834e-01
1.019985800000e+04	2.767981541860e-01
1.019985600000e+04	3.491379589130e-01
1.019985400000e+04	4.780891624568e-01
1.019985200000e+04	4.438843297173e-01
1.019985000000e+04	1.780211273798e-01
1.019984800000e+04	1.115913637522e-01
1.019984600000e+04	1.756837073553e-01
1.019984400000e+04	1.305265733547e-01
1.019984200000e+04	1.721225641956e-01
1.019984000000e+04	2.981345668669e-01
1.019983800000e+04	1.654522696803e-01
1.019983600000e+04	3.749052357586e-01
1.019983400000e+04	1.662041514654e-01
1.019983200000e+04	2.128992544782e-01
1.019983000000e+04	2.783605804069e-01
1.019982800000e+04	9.169196845695e-02
1.019982600000e+04	2.605317784134e-01
1.019982400000e+04	2.953127373191e-01
1.019982200000e+04	4.206420893532e-01
1.019982000000e+04	2.259100815364e-01
1.019981800000e+04	2.527737445535e-01
1.019981600000e+04	3.062989839914e-01
1.019981400000e+04	2.605640772965e-01
1.019981200000e+04	5.702599008850e-01
1.019981000000e+04	2.482247957537e-01
1.019980800000e+04	5.560994251514e-01
1.019980600000e+04	8.238546834540e-02
1.019980400000e+04	5.678517760559e-01
1.019980200000e+04	1.906429581738e-01
1.019980000000e+04	6.423475011892e-01
1.019979800000e+04	1.101137089338e-01
1.019979600000e+04	4.810076147449e-01
1.019979400000e+04	3.933758713256e-01
1.019979200000e+04	2.045359371689e-01
1.019979000000e+04	3.362198715814e-01
1.019978800000e+04	6.392896259859e-01
1.019978600000e+04	4.700761464099e-01
1.019978400000e+04	5.186422888884e-01
1.019978200000e+04	3.878565304287e-01
1.019978000000e+04	5.784839288116e-01
1.019977800000e+04	4.594040431795e-01
1.019977600000e+04	2.017922197473e-01
1.019977400000e+04	6.621695819557e-01
1.019977200000e+04	2.348078333790e-01
1.019977000000e+04	1.184986197463e-01
1.019976800000e+04	6.551983843096e-01
1.019976600000e+04	4.808829667947e-01
1.019976400000e+04	3.021804099050e-01
1.019976200000e+04	4.842952049595e-01
1.019976000000e+04	2.782338769313e-01
1.019975800000e+04	4.366590958015e-01
1.019975600000e+04	2.447410995479e-01
1.019975400000e+04	3.802499128898e-01
1.019975200000e+04	1.347689819106e-01
1.019975000000e+04	4.404836468473e-01
1.019974800000e+04	4.660804238098e-01
1.019974600000e+04	6.577940479083e-01
1.019974400000e+04	5.182994643470e-01
1.019974200000e+04	3.002813872593e-01
1.019974000000e+04	8.969390119842e-02
1.019973800000e+04	4.848151196170e-01
1.019973600000e+04	1.501906328229e-01
1.019973400000e+04	2.917887674066e-01
1.019973200000e+04	1.928429329921e-01
1.019973000000e+04	5.351613580855e-01
1.019972800000e+04	1.877556562851e-01
1.019972600000e+04	2.683157620956e-01
1.019972400000e+04	2.098662070066e-01
1.019972200000e+04	2.895892190600e-01
1.019972000000e+04	6.879872940810e-01
1.019971800000e+04	1.451805706585e-01
1.019971600000e+04	1.068400368468e-01
1.019971400000e+04	4.854637268644e-01
1.019971200000e+04	1.138351191793e-01
1.019971000000e+04	6.695952679095e-01
1.019970800000e+04	1.262729478998e-02
1.019970600000e+04	2.863704122422e-01
1.019970400000e+04	3.307718148875e-01
1.019970200000e+04	2.077260119871e-01
1.019970000000e+04	4.811205176953e-01
1.019969800000e+04	1.265220975545e-01
1.019969600000e+04	7.045693432083e-01
1.019969400000e+04	3.856137434817e-01
1.019969200000e+04	1.701089574051e-01
1.019969000000e+04	4.101023894487e-01
1.019968800000e+04	1.534158811193e-01
1.019968600000e+04	4.141680496584e-01
1.019968400000e+04	3.738978988302e-01
1.019968200000e+04	2.633521593761e-01
1.019968000000e+04	5.925018072805e-01
1.019967800000e+04	5.090219675415e-01
1.019967600000e+04	8.778272802174e-01
1.019967400000e+04	8.926131511791e-01
1.019967200000e+04	3.768038467832e-01
1.019967000000e+04	9.172625736000e-01
1.019966800000e+04	4.441996720059e-01
1.019966600000e+04	5.396153086655e-01
1.019966400000e+04	3.924869740673e-01
1.019966200000e+04	4.587154177402e-01
1.019966000000e+04	6.473432690595e-02
1.019965800000e+04	1.681824903203e-01
1.019965600000e+04	2.852328116212e-01
1.019965400000e+04	8.887826376417e-02
1.019965200000e+04	3.399638355364e-01
1.019965000000e+04	2.354233101592e-01
1.019964800000e+04	2.758516503239e-01
1.019964600000e+04	3.934213449308e-01
1.019964400000e+04	3.360916025051e-01
1.019964200000e+04	6.580527571918e-01
1.019964000000e+04	4.496648871993e-01
1.019963800000e+04	5.955181672467e-01
1.019963600000e+04	7.070672578818e-01
1.019963400000e+04	1.184720977595e+00
1.019963200000e+04	1.047018344538e+00
1.019963000000e+04	8.314893804710e-01
1.019962800000e+04	6.228935538720e-01
1.019962600000e+04	4.802446607834e-01
1.019962400000e+04	8.580959313590e-01
1.019962200000e+04	8.800866755774e-01
1.019962000000e+04	1.451647216438e+00
1.019961800000e+04	1.093685332394e+00
1.019961600000e+04	6.430798959344e-01
1.019961400000e+04	7.655739575779e-01
1.019961200000e+04	1.027786109165e+00
1.019961000000e+04	1.152463103443e+00
1.019960800000e+04	5.677377959569e-01
1.019960600000e+04	6.688457270263e-01
1.019960400000e+04	4.587851894431e-01
1.019960200000e+04	6.716007082151e-01
1.019960000000e+04	4.419928703214e-01
1.019959800000e+04	1.044644680721e-01
1.019959600000e+04	3.578361597652e-01
1.019959400000e+04	5.841469162292e-01
1.019959200000e+04	5.087873947946e-01
1.019959000000e+04	1.013317548507e+00
1.019958800000e+04	4.302945270115e-01
1.019958600000e+04	4.668992016461e-01
1.019958400000e+04	4.956393609489e-01
1.019958200000e+04	2.251589721365e-01
1.019958000000e+04	2.588394836252e-01
1.019957800000e+04	2.214535795759e-01
1.019957600000e+04	4.149873178897e-01
1.019957400000e+04	4.703209329172e-01
1.019957200000e+04	2.584378147884e-01
1.019957000000e+04	4.914528359796e-01
1.019956800000e+04	2.628313631464e-01
1.019956600000e+04	2.339838809310e-01
1.019956400000e+04	3.149525463270e-01
1.019956200000e+04	6.956647433926e-01
1.019956000000e+04	6.959141661055e-01
1.019955800000e+04	4.861071392308e-01
1.019955600000e+04	2.306000906300e-01
1.019955400000e+04	4.486151679133e-01
1.019955200000e+04	2.141657227691e-01
1.019955000000e+04	1.450215414956e-01
1.019954800000e+04	3.175502813507e-01
1.019954600000e+04	8.953496534360e-02
1.019954400000e+04	1.130392010496e-01
1.019954200000e+04	3.512065043749e-01
1.019954000000e+04	3.531549246546e-01
1.019953800000e+04	6.322427211917e-01
1.019953600000e+04	2.489257069778e-01
1.019953400000e+04	2.074366016257e-01
1.019953200000e+04	7.115614197658e-01
1.019953000000e+04	4.465806409881e-01
1.019952800000e+04	4.512754446044e-01
1.019952600000e+04	4.827785091852e-01
1.019952400000e+04	1.947876206470e-01
1.019952200000e+04	1.694858094538e-01
1.019952000000e+04	7.911167661447e-02
1.019951800000e+04	7.813834550768e-01
1.019951600000e+04	5.169642181686e-01
1.019951400000e+04	1.610954654748e-01
1.019951200000e+04	7.715802469726e-01
1.019951000000e+04	1.567851699192e-01
1.019950800000e+04	5.356063753101e-01
1.019950600000e+04	3.060195063661e-01
1.019950400000e+04	3.983345237679e-01
1.019950200000e+04	5.200342653525e-01
1.019950000000e+04	4.779375210913e-01
1.019949800000e+04	6.231296394410e-02
1.019949600000e+04	2.347315130779e-01
1.019949400000e+04	3.279545678268e-01
1.019949200000e+04	1.837633856384e-01
1.019949000000e+04	3.941436707467e-01
1.019948800000e+04	4.248090094990e-01
